ref,citation_0,citation_1,citation_2,citation_3,citation_4,citation_5,citation_6,citation_7,citation_8,citation_9,citation_10,citation_11,citation_12,citation_13,citation_14,citation_15,citation_16,citation_17,citation_18,citation_19,citation_20,citation_21,citation_22,citation_23,citation_24
reference_15,5.0585021730448725,3.85052875089407,3.4065614123702015,3.4760666116232875,3.4094764013155467,3.3421371534821755,2.972555399199025,3.5046911558835987,2.852653986092113,3.390653584721375,3.552120782687209,3.774990227754605,3.3340826466361997,3.3243553385152818,3.4207509758114822,inf,3.4268163623397587,3.192307843679917,3.584110352236674,3.4206715434697292,3.5663196252788096,3.303310234838788,3.2700164804672243,inf,3.3281375642380713
reference_16,4.842855793180053,3.572038787594441,2.965950523171826,3.0039911788269924,3.5672850921015007,3.0920141892316058,2.9556824930453596,3.331375770462419,2.9028304421462026,3.287462191091635,3.1945011254909983,3.569136237638345,3.4312636270016377,2.9094061176945516,3.2959749596047216,inf,3.352503201023269,2.730999695800951,3.23156903339956,3.3467130813121275,3.2856971938378856,3.164575700275271,2.852919055517944,inf,2.876640796535806
reference_17,4.830308851679921,3.672137759099901,3.04850689097274,2.9842044724699854,3.6579422552502847,3.2475949004583358,3.0766794018342525,3.229113817718446,3.0806985044862247,3.3141125517815353,3.4446714466328006,3.6197512768817983,3.472444406300927,2.8039206383631825,3.275379544418025,inf,3.1235732241625787,3.091942897752623,3.3979728953731505,3.206269723191452,3.425269662526542,3.278874464493102,2.8451080203133823,inf,2.992143579235983
reference_18,4.900444656948661,3.8450785933364866,3.355084435465666,3.6351476762213473,3.692828242117847,3.4053120230954885,3.333724896929801,3.5136170528347015,3.3570829398523485,3.4017105025704506,3.5824624300843944,3.813206122238614,3.716164732848073,3.5480522415848736,3.5816733565395356,inf,3.6591412231846094,3.3355549721739144,3.559535314247621,3.566284854652999,3.5378153435308963,3.459371309007357,3.437847447225952,inf,3.4996229135201937
reference_19,4.753004860632325,3.605173118132115,3.132143458227157,3.337072146847415,3.4860055099944067,3.0402154416097407,2.763785670786455,3.171482025811005,2.8538498251718263,3.091820880698205,3.264322505167264,3.477810094457337,3.475747532687378,3.1940903160247087,3.1376828692630294,inf,3.236548090820313,2.8128735524736417,3.1509882382172405,3.1843794811716233,3.192274191347501,2.981364234590049,3.0932623394713405,inf,3.089124878739452
reference_20,4.627560828828165,3.63029653038431,3.0197018046642037,3.3909404416943167,3.558950868546013,3.2269021044820203,3.0770601548533287,3.142948303271904,3.1157737207876126,3.297864319514695,3.2791552373927373,3.468527343435182,3.4634953664264065,3.3385054211405496,3.2806219905854395,inf,3.3208994512550785,3.043419988327224,2.994281184909073,3.327978698802045,3.180503279544041,3.2809896852285405,3.2957248610437806,inf,3.3736080158062087
reference_21,5.149853252393796,4.057673819689274,3.574705289931461,3.3690177117293927,3.958282618408043,3.574658717199474,3.26003621263936,3.6804780131465815,2.4890117947487465,3.5800029896203247,3.5951691864001942,3.869158778829592,3.36315827109293,3.45521883300032,3.6506418490045736,inf,3.754535740630397,2.8565612093224346,3.6316024656287964,3.604598673237329,3.692167340879065,3.624545899248665,3.424829239761588,inf,3.060884995854976
reference_22,4.99128273577561,3.881875888599904,3.416503267546739,3.500401492814929,3.7002761534656794,2.451403712913823,2.9226131132598443,3.3945014649211322,2.5868983921444753,3.473181496339034,3.444756128184207,3.7291591746687116,3.6133373794407775,3.372707636881344,3.3635833054743256,inf,3.536717418230788,3.0726388897699195,3.5288314169889463,3.48504626969972,3.522462747005094,3.271215886125128,3.452493495285604,inf,2.2869028186603404
reference_23,4.994676508888006,3.8974500342983007,3.3877516489461077,3.4572056908590496,3.484540489493124,3.433251575991392,3.051119597782229,3.5126341989970205,2.2809784303084832,3.556212482213229,3.14455273286922,3.751426506830961,3.230350924408436,3.423043619573176,3.5421181185543538,inf,3.5554583969163893,3.1669054750888863,3.500757506654926,3.2666883478895197,3.3001559960744555,3.1417069167744645,3.437621456128716,inf,3.36556997023989
reference_24,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
reference_25,5.07765415110035,3.9017883329150678,3.4749258787349246,3.480940537478435,3.9713050555349065,3.4511186201263193,3.3092581930136586,3.576056124578405,3.0189694289688656,3.4683136600562094,3.4853452643809697,3.767353695344005,3.7807484619620335,3.4263038670897483,3.4580566344584462,inf,3.6377660639183524,3.1043230740570915,3.583471045856017,3.597073160745352,3.5183182339700063,3.51315754604093,3.4582599020674585,inf,3.4887071290588385
reference_26,4.714685075538754,3.634293808638811,3.404369953409992,3.4466804956111314,3.5806108869310123,3.3598506579141616,3.264961135023036,3.3221162871947287,2.9487924315898977,3.5100648577423095,3.432257248304701,3.546721950168703,3.577335050185347,3.4556994105825427,3.4221960000371934,inf,3.3059013599805236,3.1831081405618975,3.3523871755593473,3.467066095283272,3.4353140911205147,3.371421387482402,3.468639865591526,inf,3.4714032146028524
reference_27,4.752674963913345,3.7439194625179293,3.525103558168999,3.5658814247457506,3.5441194667423446,3.367946251195193,3.290007326420621,3.2503504863518713,3.2070835836234113,3.4707550886850123,3.386647063657117,3.5807790313679733,3.5381349720777986,3.5893051765800483,3.4050704532224185,inf,3.4226091716523652,3.3009317013028823,3.433121158295572,3.5882125572042254,3.4836429745184674,3.439780795704897,3.432500556000543,inf,3.47857877545166
reference_28,4.809270144392565,3.7146440203094393,3.3045849363431916,3.4080381847664873,3.498943978360115,3.278817327268595,3.1687341388505277,3.283196874915598,2.8582881526381985,3.5066177637367155,3.3319190481693,3.593541019450216,3.444437879764725,3.3199697742268484,3.385662299912143,inf,3.383216419694162,3.137781710759192,3.296290051935306,3.48014693217058,3.3581467884870118,3.2604688212985784,3.3836618488240147,inf,3.0028902285181336
reference_29,4.894097997380734,3.8482236162747263,3.6065847687340264,3.7242804027325684,3.7202996882190686,3.4369659332436493,3.4192314269178374,3.524307736260196,3.1006485405891127,3.557841697325387,3.3208105549975855,3.723521843711731,3.639077879101271,3.633527734320796,3.6728659722639656,inf,3.6455701629021378,3.314876100663983,3.5275840176145308,3.589397230223267,3.616092527865836,3.3733793268868775,3.5437641637557085,inf,3.3143854958685903
reference_30,5.0972900036092765,3.784188452940106,3.5076856582968916,3.445300869863069,3.898089587913111,3.429613205540252,3.314433647236237,3.6233923712423803,3.055187629780992,3.453783027600134,3.5269089494877592,3.7634046221980033,3.7837733246249203,3.482086591489613,3.578679141110516,inf,3.661567411700678,3.194259305189,3.5641280107201436,3.5621371567397344,3.4911298645647486,3.5441589335018664,3.4561847064242603,inf,3.5066045574275497
reference_31,4.7565224978816065,3.7653735943242492,3.368790792027044,3.5807456814072025,3.6063891759094995,3.251386733633431,3.227670778976301,3.39365054958917,3.1394452405114066,3.5594849690263324,3.448368895557764,3.6567572135941173,3.5746523471125755,3.400805942242778,3.452484985544235,inf,3.5098992359658867,3.2965543556629915,3.3452593502422703,3.560676490398701,3.4278755448954996,3.4679371519312143,3.5326556165668186,inf,3.3458105794536834
reference_32,5.18370553394787,4.137175229257504,3.7306405507681113,3.7840288338285495,4.013264095007595,3.614080924622421,3.498127515175251,3.774252955221139,3.458059715217886,3.5190351936053785,3.7979853788517492,4.02697153551584,3.9110941848126832,3.6171580090481887,3.738885424112792,inf,3.8748560877373683,3.604109291365249,3.790362460871062,3.6985884635852124,3.756616439898974,3.5278993125846996,3.5134511829416692,inf,3.151429200070989
reference_33,4.936775856785912,3.7772500861386855,3.026964586824806,3.4727055846341264,3.657720880973587,3.3517604561859513,3.1511666226975277,3.405754046063402,2.9866778467980915,3.4829076159336734,3.3469591246971513,3.706408847832044,3.5905667426358887,3.089029536142789,3.4380549048219673,inf,3.5499177422907393,2.8763204445919017,3.4558087862617852,3.4672089233448355,3.467134218238497,3.1619470721893084,3.4672362629598523,inf,2.867946660843563
reference_34,4.946971527667392,3.864513290764319,3.6702786112357755,3.696701889997415,3.84500865649717,3.5008560174834797,3.3251828237385435,3.5770716007240972,3.4046767442568444,3.7269301992377963,3.7079415819304833,3.8802273745588884,3.9174280463218856,3.600424667956123,3.550944017687165,inf,3.7676023277730963,3.413808778616186,3.679604796220492,3.710152799227796,3.5750862710917053,3.556880564033594,3.6870118188776946,inf,3.593720072878178
