ref,citation_0,citation_1,citation_2,citation_3,citation_4,citation_5,citation_6,citation_7,citation_8,citation_9,citation_10,citation_11,citation_12,citation_13,citation_14,citation_15,citation_16,citation_17,citation_18,citation_19
reference_13,3.411994648789238,3.760703087532513,3.7765908336175054,2.9482880322951672,3.240058312170792,3.120345629264081,3.135425258992616,3.2773782262806077,3.6936621953552975,inf,3.2829140435765636,3.483288544781859,3.5932914889155616,3.4872227027187357,3.6177695841896806,3.605161480041826,2.9782453984710173,3.3105426703606717,3.127602777366708,3.299113975248245
reference_14,3.3327300299680243,3.638884756372357,3.66835177421856,3.530437508190537,3.30853907187115,3.2012180372392662,3.205736238596201,3.223775351306444,3.673269901415349,inf,3.4274415110728063,3.446758988882447,3.6573681584715367,3.4181360869522575,3.5695066210321493,3.601640879415608,3.5250496206088155,3.2722430699869123,3.2280543130279544,3.5633224246021262
reference_15,3.3902397102134754,3.660053515697679,3.5698859956722355,3.582221082055326,3.4997424047123715,3.481997883851146,3.6286692155464055,3.0347843365176552,3.5744803491926187,inf,3.429115868033878,3.193122528440425,3.581191629425447,3.322971069621868,3.4574304008212438,3.5514115157695754,3.4798330692480843,3.3656270031720004,3.2095379029216575,3.5512820647249814
reference_16,3.391740149444087,3.73151773061922,3.696511195775769,3.685360856770395,3.330877732109533,3.4868587135801166,3.1079822103345354,3.2170834965363344,3.7479462029092265,inf,3.57063166668761,3.471178593773327,3.6482477876723562,3.4894805027110167,3.581987520901908,3.6132293711045014,3.571590154715283,3.4396930817206557,3.459357013043787,3.635263423632681
reference_17,3.241999015180872,3.683030635681115,3.5700869556500994,3.197285175261337,3.434541474012579,2.7221053576138377,3.5572290626351855,3.2635717383062812,3.604457023292002,inf,2.701535293408312,3.4535328206566995,3.497288733565651,3.3505415002859045,3.0330930158374416,3.6319830766676824,3.0617635280290374,3.178948543405703,2.936487199565158,3.1409643868852988
reference_18,3.2672480527397396,3.8074498765669276,3.7289946377561236,3.633700998011728,3.454583757562795,3.4324037034304697,3.6056340736202626,3.495725578537708,3.2960443237544363,inf,3.558845720075837,3.526181638188646,3.6825304840054724,3.622784316645201,3.5961876827171935,3.795872321045078,3.5038149889172705,3.326810712352638,3.501311373798935,3.6579837465313196
reference_19,3.0253266637813465,3.5728336174791173,3.5599099808454904,3.467940746857406,1.6057906392536023,2.965822931460206,3.163846212902063,2.9605062274188287,3.4995029074981447,inf,3.2915890315454495,3.1497329935455323,3.3824086998178684,2.966731867612108,3.0637578361862374,3.5343499380171766,3.2262007653485045,3.2766377233825277,3.0913466204556355,2.995676273292482
reference_20,3.297195418029453,3.650096554471138,3.553770703849893,3.3522997606814107,3.214491377051877,2.6764226057380505,3.444912403278053,3.2494218916298085,3.5315359296487228,inf,3.053559072431603,3.1429407712936417,3.5378896233646753,2.7558565502557175,3.0556755320191713,3.612257433908309,3.0182615701502784,3.3704289514188246,3.3469735775466947,3.0947679139417574
reference_21,2.955357977373732,3.2644293353811573,3.6029864968916807,2.876078371137189,3.0666661345271433,2.65869113606249,3.0639356777488156,3.057610325346158,3.555016224554045,inf,2.6534346146871393,3.244152432911487,3.4647538749917213,3.2831138226016603,3.3758230458493252,3.3856890297132813,3.116615851292404,3.1354959049710858,2.8705281104188565,2.917095562454494
reference_22,3.44314239969081,3.778776834159983,3.6946934857702685,3.540788029701183,3.5558230689545822,3.568439473318633,3.6719997235963127,3.42438060950542,3.669555967359294,inf,3.6654283723674514,3.584330353640417,3.704312985109079,3.5898840771810945,3.567067069962011,3.7663187109830507,3.630340768861528,3.4014018453318617,3.4750067649073237,3.6231719643256013
reference_23,3.2077047970311408,3.5795952289830644,3.4846688931423935,3.0071363129877478,3.0521212134132765,2.9411375482128914,3.464470737763945,3.136732068740497,3.5238861205389105,inf,3.042829790638428,3.3214069281955227,3.4316280015110405,3.1991633477382426,3.347721439853692,3.553569774755429,3.362011096694476,3.022677375311859,2.863801465877026,2.8043980444637375
reference_24,3.4517284343382117,3.7719997440752984,3.464432716369629,3.529497285677719,3.632501030317694,3.5701011990824263,3.6010748843836784,3.352017399137963,3.644048713384867,inf,3.6254502147748493,3.5160561678710938,3.689935480020486,3.438519757704052,3.685094852401708,3.6755651202342507,3.648952497770474,3.5526785061824255,3.4399312500883097,3.6049966312208177
reference_25,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
reference_26,3.565533468876721,3.8440025490876275,3.835748274971712,3.1721086326237713,3.2915725518157246,2.6438885773856904,3.670047047721371,3.481856923095859,3.7582352982400757,inf,3.3607180780869315,3.7056767767811736,3.7864789459838986,2.794731584521176,3.70832866386049,3.7867816143935107,3.667506503819177,3.3214503113082823,3.0723286226582633,2.78305105075266
reference_27,3.4011693234836993,3.73335077660527,3.622071984096775,3.1167206312319276,3.421865175080622,3.126861293350903,3.5787729702943007,3.3101327713341155,3.550513389053846,inf,3.430538348335688,3.429623193231762,3.35890593080786,3.426224581584045,3.4560702695348313,3.6815898530065296,3.4075058104739426,3.1547225139019686,3.1602221461464017,3.503442010522289
reference_28,3.355134293494774,3.7384155956766065,3.6788341854166564,3.578518778216746,2.9443203227801837,2.9084086994465603,3.491995485982256,3.160527681663015,3.5861387068474473,inf,3.4652262499532855,3.4082284329368577,3.5945678656141156,2.8864209132705168,3.3560339840222215,3.6754968099326644,3.4550592769375195,3.4736210161726433,3.35697273684568,3.1288823375058734
reference_29,2.9795016811408996,3.2694697390167713,3.072771899421215,3.1930633920015334,3.210197678330034,3.133094209537642,3.2007890177555085,2.9629636611050447,3.273831300785184,inf,3.249557986151855,3.136629034420776,3.1195645643053362,3.1030905584211053,3.1074313729866576,3.328135281071663,3.1640271444641312,3.2163799655661056,3.078112127015233,3.355525111081887
reference_30,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
reference_31,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
reference_32,3.430794640994592,3.834923332746046,3.5928629672755203,3.080449598848863,3.585595109816117,3.470498375550012,3.558715915311132,3.365022295420842,3.639742230214554,inf,3.536855563525413,3.458208883526102,3.6199822443116987,3.390625996728606,3.5533969104135146,3.6777984568064124,3.5758822559003662,3.49723471930888,3.326920534899043,3.6183987831748223
reference_33,3.0080110736303327,3.401534223268509,3.1813950897395613,3.082770665278268,3.0418492039251923,3.133064195130085,3.2293000127753735,2.946334069178425,3.2548072591705326,inf,3.160651913387803,3.130715791255856,2.8598106828403056,3.151283091586621,2.923541656459181,3.4439815253695847,3.163252022542069,3.0639466746740323,3.0220656630318166,3.233951830266023
reference_34,3.357315206885862,3.8132875864053726,3.6638101136286734,3.463102799882698,3.6158982400137307,3.512264396099085,3.667870923798752,3.3895767935934327,3.661657117569637,inf,3.4929938914676297,3.4744773580890658,3.6403713179736203,3.4802389605484687,3.6048239463541,3.804283168490076,3.627035201607386,3.5185490694850925,3.412351676313973,3.5929971049252516
reference_35,3.104029379167438,3.4334397429490093,3.3254880212725646,3.337352313780976,3.061602858893413,3.1331122455929243,3.0390738097776895,3.1156066121181363,3.392475289095402,inf,3.263497716823222,3.2204955710495002,2.9913472009171214,3.1785433390381956,3.1904667773246187,3.4931749548931124,3.1601611243504744,3.290460775813222,3.142390566616631,3.3001658928976534
reference_36,3.014345766258075,3.4745801721029355,3.6047492324854766,3.518830426666805,2.9906548873098986,2.8477867424567096,3.079066502385818,3.191977760611379,3.5599708693089642,inf,3.4167347094158207,3.390851724544263,3.0353071801833376,3.1976127929132336,3.4344894854054258,3.495087593325071,3.40469229635358,3.440772122687837,3.264305205268378,3.2486140397363594
reference_37,3.3062381640914675,3.59764074303569,3.642626346084578,3.5371866635132925,3.240336774652237,3.009514335454584,3.600914820252476,3.356433958874913,3.6035990781015963,inf,3.4872137602955275,3.4383887153876747,3.5648785872687876,2.9281241822236397,3.4883319871495737,3.7122404569046825,3.454694421155652,3.480410498480131,3.422393531993567,3.0869791447064627
reference_38,3.634519881382771,3.9076747156140823,3.818915278500847,3.7388282994074267,3.4501230159085754,3.61505013440615,3.241664100191047,3.4732845621689408,3.856039450293829,inf,3.669248898091903,3.237496587291283,3.76139268086246,3.71844844872616,3.815493278535193,3.718640413721905,3.7581349701908855,3.669525925693611,3.5864254318637725,3.755130607900904
reference_39,3.456484111375598,3.8143964061251023,3.7903417571232887,3.556850141216758,3.000424360188249,3.002982699077234,3.6101825666368392,3.4284622690867925,3.7406401092423534,inf,3.4767701847215915,3.5728001829807363,3.7063682887695757,3.2991785190706273,3.5953983828234852,3.7578915729540983,3.573863763113926,3.2765693502352353,3.3908841061312143,3.1786485538928893
reference_40,3.1582283484840397,3.605013718435288,3.6121550652520185,3.4902971937751777,3.133537039104641,3.3227809378246027,3.4314328014669426,3.1491061441958084,3.54545763561492,inf,3.3838768449602217,3.2979175545527464,3.528466581299885,3.2455606444136387,3.418058242522413,3.6167792877641682,3.3754102081754214,3.3842637968363594,3.2064144638717655,3.148872263538551
reference_41,3.4169555439829313,3.7946720355346595,3.6116196713638433,3.5980353046247506,3.552794268908447,3.4926316039868577,3.5577886257270186,3.3397479508051107,3.687847470938253,inf,3.534695492426547,3.4935726072385638,3.663677018292294,3.407269162362197,3.5860938126554864,3.683088580878356,3.539582528758273,3.530485317680059,3.3772923318614034,3.6025469667667114
reference_42,3.311487363779319,3.7098621212326113,3.6424958880091927,3.6434113815335385,3.3090521827227213,3.153059217074792,3.5924257829165342,3.448973198356499,3.6298085308813195,inf,3.599404420450777,3.5001424650287634,3.388435478521224,2.8206472453502887,3.506752403441415,3.7543724478488736,3.6259224608626477,3.5910665671587463,3.466530167089049,3.182223422975785
