ref,citation_0,citation_1,citation_2,citation_3,citation_4,citation_5,citation_6,citation_7,citation_8,citation_9,citation_10,citation_11,citation_12,citation_13,citation_14,citation_15,citation_16,citation_17,citation_18,citation_19,citation_20,citation_21,citation_22,citation_23,citation_24,citation_25,citation_26
reference_118,3.4566244647367954,3.522163917710679,3.3005143871077007,4.043546833985329,2.9017607090709685,3.438726781687409,3.288655805551615,3.206992159243061,inf,3.548067978646931,3.2229928607716483,3.392288852681962,3.646542903667355,3.6246370828579906,3.6100400809979103,3.6573197226940115,3.665309859813727,3.1584929561814015,3.4313623298129134,2.4182963371276855,3.4278389336674215,inf,3.4600092035210133,3.6687852149096694,3.2825501130517716,3.5231299142272072,3.37030122158289
reference_119,3.4441046426738926,3.518775932445355,3.303200841456964,4.001735191380978,2.9357862252254963,3.4009503185324372,3.2780424328658113,3.0910646179661554,inf,3.5353034586535457,3.2244327337890533,3.3865672620959546,3.591864290898323,3.601020348658752,3.5725377300538375,3.6225951476139913,3.651469122497989,3.1293284848223295,3.4313330713065557,2.3855233192443848,3.412154208586812,inf,3.46224350812912,3.653756482427659,3.235088860568357,3.4986163670156927,3.3207302057480814
reference_120,3.4413694127418157,3.5370245289529336,3.3016929967689705,4.048941400252819,2.9398704749399185,3.4102590500468013,3.27931357887066,3.1509241186996206,inf,3.5818668767286317,3.23546714070455,3.4039802507382952,3.631680299794006,3.615689880636711,3.589279822460101,3.637644881862778,3.688905883592564,3.1465872582907055,3.444453839504331,2.4008052349090576,3.4270153077871797,inf,3.4577636939131025,3.6617818235646165,3.2579945824330085,3.508601804362347,3.3480907545962335
reference_121,4.155104037869782,4.241431487854932,4.028552827654995,4.62371927806592,3.820670654438019,4.155133260630369,4.036170044511073,4.0210063597698555,inf,4.274665588908456,3.9871649927981374,4.119286142409487,4.314232059034539,4.329858195373535,4.271622511684066,4.35101094541533,4.36901750156071,3.9511305640312258,4.197355178405941,3.2420170307159424,4.148980059127629,inf,4.195809861652613,4.361794867635501,3.942372994415687,4.239920416224198,4.07203284590292
reference_122,3.4246582165264368,3.523188603187669,3.2813257891017176,4.039146703431606,2.8924377647638324,3.40398177627486,3.260508607601297,3.1340297016302188,inf,3.5655439509555,3.210254232706952,3.3889627460915794,3.6313270045665744,3.6134380735782625,3.58040039626629,3.6358857937903686,3.674412765726827,3.1170743864047243,3.4116675521163655,2.356968402862549,3.414682012704849,inf,3.4273221744292974,3.66443516404523,3.239026133264685,3.493622675982544,3.355283215675831
reference_123,3.4413694127418157,3.5370245289529336,3.3016929967689705,4.048941400252819,2.9398704749399185,3.4102590500468013,3.27931357887066,3.1509241186996206,inf,3.5818668767286317,3.23546714070455,3.4039802507382952,3.631680299794006,3.615689880636711,3.589279822460101,3.637644881862778,3.688905883592564,3.1465872582907055,3.444453839504331,2.4008052349090576,3.4270153077871797,inf,3.4577636939131025,3.6617818235646165,3.2579945824330085,3.508601804362347,3.3480907545962335
reference_124,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
reference_125,4.155104037869782,4.241431487854932,4.028552827654995,4.62371927806592,3.820670654438019,4.155133260630369,4.036170044511073,4.0210063597698555,inf,4.274665588908456,3.9871649927981374,4.119286142409487,4.314232059034539,4.329858195373535,4.271622511684066,4.35101094541533,4.36901750156071,3.9511305640312258,4.197355178405941,3.2420170307159424,4.148980059127629,inf,4.195809861652613,4.361794867635501,3.942372994415687,4.239920416224198,4.07203284590292
reference_126,3.858255052458406,3.6399372002599537,3.686873716333887,3.9630809937434197,3.474427536899567,3.672352757451153,3.674613150792098,3.478387068949726,inf,3.560892421872138,3.5753140166908524,3.7206275354035157,3.767638157689857,3.8750863155666355,3.7412080881618057,3.7577065169138253,3.6651967354474233,3.504966094507516,3.7450596712456092,3.027056064151955,3.6493832260807637,inf,3.874973354260397,3.9167953094341375,3.5500537845122553,3.763758551261349,3.5106269177870275
reference_127,3.4566244647367954,3.522163917710679,3.3005143871077007,4.043546833985329,2.9017607090709685,3.438726781687409,3.288655805551615,3.206992159243061,inf,3.548067978646931,3.2229928607716483,3.392288852681962,3.646542903667355,3.6246370828579906,3.6100400809979103,3.6573197226940115,3.665309859813727,3.1584929561814015,3.4313623298129134,2.4182963371276855,3.4278389336674215,inf,3.4600092035210133,3.6687852149096694,3.2825501130517716,3.5231299142272072,3.37030122158289
