ref,citation_0,citation_1,citation_2,citation_3,citation_4,citation_5,citation_6,citation_7,citation_8,citation_9,citation_10,citation_11,citation_12
reference_22,4.17373322966544,4.044337460441048,4.177808354945933,4.326428202851638,3.8831511486844006,3.856909498747276,3.9245615354071552,3.9012548194527086,4.142616340894421,4.006143236751388,3.9140161966143494,3.700500867389282,3.631553901010275
reference_23,4.16135148405398,3.995287441941785,4.152818002635542,4.334661750743067,3.867638833591388,3.814735137158773,3.9008379627762357,3.856597760214699,4.09060459841368,4.0173307368835935,3.866501957030178,3.696643534739185,3.6364100199161973
reference_24,4.153914968670175,3.1002035817260745,3.331225624145508,4.066912658740032,3.678273551062339,3.1585177951793613,3.7427630677368167,3.7424199473317037,4.006522243900622,3.9964646029508275,3.8345406711364745,3.55243988559008,3.5037099076904297
reference_25,4.001860778526625,3.7166098395210736,4.087334591824054,4.192707077378344,3.7905185414058726,3.6649602292574373,3.8722935112180235,3.843238551340353,3.9563608666578896,3.953730976113331,3.7870302445039745,3.6705958768322233,3.5662897296014306
reference_26,3.9323927250346378,3.642225185304825,3.801741056054106,3.9707798267550483,3.496873909456204,3.4204585699972436,3.4994530527868806,3.302645237578149,3.6782993833509448,3.6436929886946055,3.4856693434462733,3.2986228151855825,3.2941490942368272
reference_27,3.9137331072527846,3.6361211868038006,3.5083901186128545,4.141601276724392,3.5603755102358394,3.4878073392417077,3.58684111346719,3.4613439014323264,3.7630652665388356,3.7817471378354335,3.550046357051282,3.231675104643667,3.202377446690168
reference_28,4.0304905413683105,3.790569295825101,3.1217440946000297,4.124329002027125,3.2538232205926563,3.5703775833366187,3.2942416887436443,3.0687747767076217,3.950126168164651,3.9096477882433245,3.759669518732605,3.3771007511017808,3.329456426215546
reference_29,3.8788194974287102,3.6469507823093417,3.859460846349335,3.955259826258692,3.4706597119043505,3.5145129653465053,3.5784113443412786,3.624288741887661,3.5466468763705135,3.388605772325581,3.172650067018509,3.2939863214603937,3.2822105992183688
reference_30,4.068615719456581,3.4780441776282576,3.984114665339621,4.0412584328419685,3.7046174027264542,3.61397926363893,3.82471782667362,3.859948676910342,3.917677817092991,3.8762684118903605,3.7454985825218094,3.542536648608836,3.48611198728526
reference_31,4.104462714558964,3.865036314991569,4.1294005430876055,3.8968560394142746,3.7053160350898695,3.60638627678565,3.8435338358173206,3.7646762833164873,3.4899951281994586,3.9118255049392925,3.4400317947171812,3.393179897297804,3.5308659594230907
reference_32,4.240250025256968,3.8324167752595755,3.3482846146097343,4.1045527000191155,3.8841491651477775,3.684698669724031,3.8780352911568694,3.8927049621712984,3.8883302119767023,3.9237708024253775,3.7035756299107003,3.5419315477164477,3.563683881429448
reference_33,4.2087110781412616,3.9680681570097347,3.5013084971351796,4.313905198454127,3.3815178812665465,3.793620687229144,3.228729954035426,3.054950950432216,4.045853121305115,4.073746481484763,3.859649561749295,3.59443916956967,3.659254774730443
reference_34,4.312006372698523,4.0543675237142285,3.3256780353550095,4.378839983741182,3.4937804611094396,3.924854229692399,3.715273393568796,3.5263993948142134,4.171437119212892,4.165946659695575,4.027548403347039,3.833687338548502,3.8238475232097646
reference_35,4.12006506349641,3.7755617949555518,2.935003507084036,4.060475611595837,3.0951722426595696,3.5456167097201647,3.5016363699918873,3.3366865849975516,3.5560934705659726,3.9344875360924356,3.356887605260253,3.5038883892019337,3.5163161321285252
reference_36,3.9477060561646087,3.6198696103412487,3.6247714391549484,3.9828155012393625,3.2740159233209,3.476112553215126,3.2173484973115025,3.4436090187232042,3.807783514298719,3.743563370246876,3.634612099935471,3.6474472673181086,3.31820364007991
reference_37,4.070907376643919,3.7384002880533584,3.970258972962609,4.063895284260328,3.6273878420906582,3.6239702837493244,3.410047257137801,3.204098354642257,3.9134305431126184,3.769897592502105,3.701298375681536,3.430004023894087,3.4108488853478867
