ref,citation_0,citation_1,citation_2,citation_3,citation_4,citation_5,citation_6,citation_7,citation_8,citation_9,citation_10,citation_11,citation_12,citation_13,citation_14,citation_15,citation_16,citation_17,citation_18,citation_19,citation_20,citation_21
reference_82,3.6957925402079823,3.4952521004320496,3.4529405474760417,3.182844809386641,2.873645869637609,3.4256009635108393,3.12562596407302,3.3096267955669996,3.2350762384300085,3.281948263094631,3.47747760520597,3.1878567293394267,3.4130425135882048,3.3083471843916183,3.3316793363724053,3.1050735139296592,3.201199977204934,3.0333655091661553,3.1259155477366694,4.1711663476577785,3.19110198166589,3.080816293049436
reference_83,3.5720623820828274,3.4262209841993942,3.3624147455116917,2.469508938158798,3.2697610822935865,3.2966453663900013,3.1556922173686988,3.204495172022998,3.1655059704362056,3.2016949854028995,3.4822013170552255,3.067727137772612,3.3819152832870736,3.3303432093415264,3.280898046523856,3.049942200767241,2.527357649060055,3.026124935601707,3.0829215878466116,4.128877226424932,2.820240009459402,2.905255411873371
reference_84,3.6094526708408363,3.4786067678412254,3.363056314729737,3.109350078794575,3.3476082416910513,3.27294264550875,3.142556509230996,3.3206333429413557,3.215739116915141,3.220529004222934,3.4650513938204286,3.1752429519305236,3.450254382404009,3.2612837088956836,3.2779173787140885,3.0009667069921937,3.041643003405896,2.9842590786614553,3.2486067843172175,4.147180947711229,3.1694876038126965,2.882089357822293
reference_85,3.6493932584687876,3.471769278055367,3.4862272624492787,2.7087306896484087,3.1432912932049466,3.1838138073530753,3.1072112862729444,3.2136885076760695,3.2067896831932794,3.284371307932318,3.541573538385601,2.803854366826183,3.4883874612025174,3.084000933831349,3.3200700614110374,2.8229794238019283,2.101042596715389,2.8076810094292957,3.116205672907107,4.186940139649807,2.678861413424217,3.0820476519936593
reference_86,3.589537859454948,3.448203812867342,3.4182148509140733,2.78288288297425,3.3513140246546755,3.3715762284445283,3.0648935010095615,3.165173354661372,3.030814438843427,3.1271860095210493,3.518535800234473,2.891053393478235,3.3747482313717616,3.1267012184722756,3.264293023479105,2.858960228329605,2.665710308333748,2.910234303384008,3.222078523568278,4.186609011809218,2.6824103411386497,2.963878318581064
reference_87,3.556243388806928,3.380168942404547,3.3431531810151567,2.410274603164112,3.1907831421634656,3.3238235576759885,3.032862507410428,3.1589747796666057,3.0538250992368847,3.1772122855083746,3.454437304645629,2.8193703799850978,3.340162837285201,3.0199119712437414,3.105052393420027,2.824157713894433,2.3065641898331917,2.302535297928256,2.9682782388321964,4.112050776042389,2.4878803515588443,2.909817559163091
reference_88,3.637361597043988,3.486394402941583,3.4590235132726055,3.217471025268078,3.2151394515432323,3.42257263075832,3.0125281601874594,3.2568394781125485,3.1329381158779652,3.2038744066341702,3.472125433719277,3.184651522359006,3.35560251358462,3.3023488246064185,3.353674584718523,3.025063939574884,3.1185323868619115,3.0522603994525377,3.235299007178453,4.155177902539253,3.173111104619838,2.780606137754335
reference_89,3.8802955587001415,3.7506646417013836,3.7357607034789067,2.8779658772794723,3.535951513205159,3.2774746974580773,3.189890926185847,3.3623419425123933,3.4785627348996986,3.559569269456543,3.8713065626456737,3.218129662854338,3.771346964455183,3.5800012562431336,3.438563926938675,2.9742286284998096,2.3647639659443374,2.7368215255108774,3.1659565828312792,4.334137445911884,3.045313555120637,3.2735099115060056
reference_90,3.648596263086132,3.5272915996484104,3.5068248646514055,2.4912249392358725,3.3449484004110146,3.3752007668724437,3.1929169320437327,3.2723647660199715,3.182912708479778,3.2815123622192015,3.5362225355946113,2.921500933103064,3.4587088328017903,3.012128291308774,3.366867597811647,2.6839743103728146,2.0677845180388306,2.8010354869024323,3.264934184700282,4.200980220611416,2.586745919131526,2.945841512254591
reference_91,3.4178062334563553,3.238079440922731,3.2267695717922473,2.750005024900818,3.0463072253818475,3.183962675474109,2.858171394141484,2.9972247050643803,2.7276504499038396,2.921212292992131,3.248874225437355,2.8902993030757997,3.1862392205283108,2.843696779298973,3.0781605806092416,2.578043865341473,2.7117044760884603,2.692532988366818,3.0229629860931992,4.001957484910512,2.8323551004851355,2.631590138530239
reference_92,3.598043998785732,3.462797719257513,3.497833184087079,2.650284559258587,3.321832813774316,3.3811797410835287,3.05905916835244,3.1498589729208746,3.168082656733178,3.2593879412068425,3.5393142124195327,2.9432406693136377,3.38410113490792,2.9120023948922547,3.2813694661129906,2.614199641233072,2.7408815207907535,2.8086433144097844,3.211330458310491,4.2119556384836585,2.8516294765693724,2.9606448074541376
reference_93,3.6336407954555483,3.4612877073706416,3.440479961083662,2.353300304109482,3.234971540700102,3.233648191241484,2.8558964242779123,3.124379781996262,2.9589685933124654,2.9728767210281597,3.577468078756228,2.6037666310564274,3.424776594339414,3.1767799734460143,3.214566090670394,2.7687883367012693,2.050141663338966,2.731506110229207,2.8405813591480946,4.185566153369595,2.335153106134608,2.9602452934253485
reference_94,3.4945243657202982,3.3123827294948036,3.294416088209669,3.1318550733500246,3.1283628757060318,3.26203141215929,2.9288391720178133,3.082800335557818,3.0200512323960726,3.1260525355479185,3.3045390503858325,3.094872066076248,3.2460100604396005,3.1271491270716187,3.2314759356076372,2.955435200044755,3.007637107932997,2.8580361836204236,3.1229456196001455,3.945247953537345,3.0749753851681723,2.7450982022999115
reference_95,3.473058722423906,3.263805319397358,3.2221726168728826,2.5331135725482623,2.762290836639524,2.877138561662165,2.6375249651066164,2.9081836987048684,2.935759174731228,3.070283663859635,3.280974552394938,2.7016562936617516,3.175247579138599,3.212507423354598,3.051634888768366,2.598979014255547,2.5364158195898137,2.5229532950190228,2.4385872749214768,3.9838675675904276,2.4703191881646736,2.7911433792086737
reference_96,3.680787853676211,3.5222122530385827,3.4761842859839533,3.322196626502572,3.471716199692418,3.3936902999099767,3.1850097424137935,3.3255060911866017,3.315104174861135,3.345426030899604,3.6378919749675354,3.1384329604647627,3.447538555948185,3.4420312209463746,3.3129653511071595,3.0164861862748173,3.269870872045778,2.984386775113522,3.159607948692214,4.195627476057836,3.08626624265643,3.0825668226638774
